Name,Item,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,2016-12,2017-12,2018-12,2019-12
메디톡스,매출총이익률,72.4,65.7,75.67,84.63,86.05,87.46,90.64,87.6,90.96,83.99,81.93,80.91,73.6,66.23
메디톡스,영업이익률,41.81,30.26,42.93,51.07,50.32,39.58,46.98,42.81,65.83,58.37,56.41,48,41.61,12.48
메디톡스,ROE,18.16,12.17,29.54,38.48,32.65,18.96,32.07,,61.33,43.36,45.36,40.67,30.75,9.83
메디톡스,ROE(지배),18.16,12.17,29.54,38.48,32.65,18.96,32.07,,61.33,43.36,45.36,41.32,31.5,10.24
메디톡스,매출액증가율(YoY),878.15,44.7,96.89,69.66,22.68,2.92,67.08,,93.9,16.62,50.56,36.01,13.36,0.22
메디톡스,영업이익증가율(YoY),235.17,4.72,179.33,101.83,20.89,-19.06,98.31,,198.15,3.41,45.51,15.72,-1.73,-69.95
메디톡스,유동비율,"1,091.71",743.39,670.42,501.59,358.28,292.98,353.97,217.96,295.02,217.7,89.6,75.08,105.07,88.03
메디톡스,당좌비율,982.33,586.98,559.39,471.22,339.41,284.13,345.45,206.12,284.24,205.4,80.61,66.63,85.66,66.52
메디톡스,부채비율,13.05,28.14,18.25,20.91,26.12,28.73,27.8,30.86,106.54,79.37,119.42,93.84,53.56,60.47
메디톡스,이자보상배율,156.7,81.53,87.95,164.39,87.94,35.32,98.18,100.91,472.3,487.92,81.83,42.17,45.72,12.34
메디톡스,매출채권회전율,7.58472,6.09068,10.26087,8.89384,6.79719,4.67199,4.38751,,6.78123,6.00313,6.00699,5.34417,3.99524,3.4581
메디톡스,재고자산회전율,8.88188,6.98977,9.43628,15.69531,20.31974,21.28501,40.59163,,27.72069,18.41137,20.94942,19.60572,12.40607,8.09944
메디톡스,매출액,"3,556,087","5,145,716","10,131,565","17,189,006","21,087,599","21,704,288.51","36,262,446.94","39,141,030.11","75,892,307.99","88,505,437.51","133,255,671.03","181,239,191.12","205,444,934.52","205,900,275.79"
메디톡스,세전계속사업이익,"1,307,169","1,598,909","4,749,481","9,130,970","10,915,276","7,873,864.92","18,134,633.72","16,797,236.48","53,861,459.41","51,962,957.52","74,997,125.98","85,247,217.49","85,099,485.01","25,149,968.45"
메디톡스,당기순이익,"1,307,169","1,500,498","4,824,312","8,813,717","10,390,783","7,371,928.20","15,436,738.47","14,303,535.94","43,627,867.92","42,292,784.53","59,231,019.52","69,993,572.74","69,765,654.20","25,563,082.88"
